hist_id,latitude,longitude,name,image_url,description,address,summary,Suburb ,post_code
11,-37.893598,145.020523,466 Hawthorn Road,http://vhd.heritagecouncil.vic.gov.au/vhd-images/places/000/031/256.jpg,"The apartments at No. 466 Hawthorn Road  Caulfield South  were built in 1936 for Miss Florence Gerstman. They are aesthetically significant.



They are aesthetically significant (Criterion E) as uncommon examples of residential buildings undertaken in a manner directly influenced by the work of Frank Lloyd Wright  comparing in Glen Eira only with the house at No. 45 Balaclava Road but demonstrating that the influence of his work was still being felt in Melbourne during the late Inter War years.
",466 Hawthorn Road CAULFIELD SOUTH  Glen Eira City,"The apartments at No. 466 Hawthorn Road  Caulfield South  were built in 1936 for Miss Florence Gerstman. They are aesthetically significant.

",Caulfield South,3162
12,-37.897614,145.019767,504 Hawthorn Road,http://vhd.heritagecouncil.vic.gov.au/vhd-images/places/000/031/259.jpg,"No. 504 Hawthorn Road is locally significant as a rare surviving market gardener's house in Caulfield South  recalling the area's former role along with nearby Brighton in growing vegetables for the Melbourne markets. It is also noteworthy as an early Caulfield house  surviving in a substantially intact state and using bi-chromatic brickwork which was highly fashionable during the 1870's (refer ""Glenmore""  1 St Georges Road  1870 and ''RipponLea''  1868).



",504 Hawthorn Road CAULFIELD  GLEN EIRA CITY,No. 504 Hawthorn Road is locally significant as a rare surviving market gardener's house in Caulfield South  recalling the area's former role along with nearby Brighton in growing vegetables.,Caulfield,3162
13,-37.888607,145.035577,1027 Glen Huntly Road,http://vhd.heritagecouncil.vic.gov.au/vhd-images/places/000/032/494.jpg,"""Braeside"" at no. 1027-29 Glen Huntly Road  Caulfield South was built for the hotel keeper  John Leith  in 1916-17. It is aesthetically significant.



It is aesthetically significant (Criterion E) as a highly picturesque and substantial villa in the Queen Anne mode as it was adapted in Australia during the Post Federation period.



Whilst the treatment of the diagonal axis with its attendant window bays and gable ended wings are highly representative of this development  the pillared verandah with its ornamental cast cement balustrade panels is unusual and imparts distinction to this place. It compares with houses in the Elsternwick Heritage Overlay Area as well as the slightly earlier villa at 31 Downshire Road (1911-12).
",1027 Glen Huntly Road CAULFIELD SOUTH  Glen Eira City,"""Braeside"" at no. 1027-29 Glen Huntly Road  Caulfield South was built for the hotel keeper  John Leith  in 1916-17. It is aesthetically significant.

",Caulfield South,3162
14,-37.880029,145.023306,Town Hall  Former City of Caulfield Municipality,http://vhd.heritagecouncil.vic.gov.au/vhd-images/places/000/032/579.jpg,"The former City of Caulfield (now City of Glen Eira) Municipal Offices  located at the south-west corner of Hawthorn and Glen Eira Roads  Caulfield South  were commenced for the Borough of Caulfield in 1884 when they also included a Post and Telegraph Office and Court of Petty Sessions. They were designed by the Borough surveyor  Sydney Smith. The hall was completed in 1890 to the design of Alexander Rankin and the present hall  foyer and portico completed to the design of Goldsmith and Jenkin  architects  in 1931. The complex is historically  aesthetically and socially significant.
It is historically significant {Criterion A) as the centre of Local Government services in the area since 1885 and as a centre of post and telegraph and legal services for a period.



Its association with architect and Borough surveyor  Sydney W. Smith is important in that the east elevation and facade (ground floor level only)as far west as the tower (lower two stages) survive as evidence ofhis work  the practice which his son continued after his death in 1886  becoming highly successful. The work of Goldsmith and Jenkin is historically important in that it indirectly demonstrates the growth of the City sustained during the Inter-war period  the work proceeding in spite of the Depression. It compares with other similar work of that time including the refurbishment of the Malvern Municipal Offices and Hall in 1927 (Hudson and Wardrop)  the Melbourne Corporation Offices and Hall in 1925-28 (Stephenson and Meldrum  A. and K.



Henderson) and the Camberwell Offices and Council Chamber in 1924 (Leighton Irwin and Roy Stevenson)  other comparable municipal projects being undertaken during the 1930s. Finally  the Goldsmith and Jenkin works are important as a project of the Depression years organised specifically to alleviate unemployment problems in the Municipality.



The complex is aesthetically important (Criterion E) as a prominent and imposing Classically derived complex of its type with individually noteworthy interior spaces being the entry hall and staircase  main Hall  Foyer and Council Chamber. The Adamesque plasterwork  timber panelling and furniture  Art Nouveaux enrichment and Classically derived treatment with sparing use of Australian decorative motifs are contributory elements. Exterior .elements of note include the remains of the original design prepared by Sydney Smith and the clock tower and portico which have come to symbolise important Municipal complexes erected prior to the Second World War.



The complex is socially important (Criterion G) for the value placed on it by the community which has made use of it for activities including that of Local government for well over a century.

",Corner Glen Eira and Hawthorn Roads CAULFIELD  Glen Eira City,The former City of Caulfield (now City of Glen Eira) Municipal Offices  located at the south-west corner of Hawthorn and Glen Eira Roads  Caulfield South  were commenced for the Borough .,Caulfield,3162
15,-37.887525,145.026877,Glen Huntly Tram Depot,http://vhd.heritagecouncil.vic.gov.au/vhd-images/places/000/032/647.jpg,"The Glen Huntly Road tram depot built by the former Melbourne and Metropolitan Tramways Board in 1924 to the design of the Board's architect. A.G. Monsbourgh  is historically important as the earliest complex of its type to be built solely by the Board following its formation in 1919. It is also important for its capacity to demonstrate an aspect of the formation of the suburbs through which the Carnegie tram route passes  the surviving electric tramways providing a vital service to these areas as they were established during the early inter-war period.



",Glen Huntly Road CAULFIELD SOUTH  Glen Eira City,The Glen Huntly Road tram depot built by the former Melbourne and Metropolitan Tramways Board in 1924 to the design of the Board's architect. A.G. Monsbourgh  is historically important .,Caulfield South,3162
16,-37.886909,145.020327,Caulfield Primary School No. 773,http://vhd.heritagecouncil.vic.gov.au/vhd-images/places/000/032/769.jpg,"Caulfield State School No. 773 is important at the State level as the first of similar designs for small schools prepared by the Education Department under H. R. Bastow at Little Bendigo (1878)  Glen Waverley (1880)  Ascot (1882)  Sandringham (1885) and Carlsrich (1892). It is a representative example of the Department's Gothic Revival designs  distinguished  however  by the semicircular treatment of the master's office  which compares with Portland (1879)  Queensberry St Carlton (1880) and Footscray (1881). It has local significance as the earliest surviving Government School in Caulfield and as a centre for education from 1877  comparing with St. Mary's Jubilee School (qv) of 1887.
",724 Glen Huntly Road CAULFIELD SOUTH  GLEN EIRA CITY,Caulfield State School No. 773 is important at the State level as the first of similar designs for small schools prepared by the Education Department under H. R. Bastow at Little Bendigo.,Caulfield South,3162
17,-37.885734,145.033697,Springthorpe Reserve Gates,http://vhd.heritagecouncil.vic.gov.au/vhd-images/places/000/032/777.jpg,"The former Old Melbourne Hospital gates have Gothic Revival pillars and cast iron gates recalling similar gates of the period at Melbourne University (part removed) and the Melbourne General Cemetery. They have cultural significance as the last remnant of the Old Melbourne Hospital  founded in 1846-48 and important as the City's first public hospital. They are of interest for their association with Dr Springthorpe and as an ornament in the Springthorpe Reserve  Murrumbeena.
",Neerim Road CAULFIELD  Glen Eira City ,The former Old Melbourne Hospital gates have Gothic Revival pillars and cast iron gates recalling similar gates of the period at Melbourne University (part removed) and the Melbourne General.,Caulfield,3162
18,-37.870661,145.008623,Tram Verandah Shelter,http://vhd.heritagecouncil.vic.gov.au/vhd-images/places/000/032/827.jpg,"The Balaclava Road tramway shelter  known as a rest verandah at the time of its construction  is presumed to have been built with the opening of the East Malvern Darling Road route by the Prahran and Malvern Tramways Trust on 11th of April  1913.

L.J. Flanagan  chief architect for the Trust  is presumed to have been responsible for its design. It is historically  aesthetically and socially significant.



It is historically significant  (Criterion A) as one of a group of three similar structures on the former Prahran and Malvern Tramways Trust system recalling not only the existence of this authority as a tramway operator prior to the formation of the Melbourne and Metropolitan Tramways Board in 1919 but also the earliest days in the provision of electric tramway services in Melbourne's eastern suburbs. It is aesthetically significant (Criterion E) as a rare structure of its type  comparing with the Arts and Crafts influenced timber shelters of later date and surviving today as the only cast iron posted street verandah in the Municipality  the cast iron frieze and ornamental columns and spandrels being representative of their period and complemented by the timber seat also characteristic of pre Second World War practice. It is socially significant (Criterion G) for its capacity to demonstrate an aspect of the early history of Melbourne's electric tramway system which has become a symbol of this City and valued by its citizens.
",Corner Balaclava and Orrong Roads CAULFIELD  Glen Eira City ,The Balaclava Road tramway shelter  known as a rest verandah at the time of its construction  is presumed to have been built with the opening of the East Malvern Darling Road route.,Caulfield,3162
19,-37.872667,145.024725,Grand Union Tramway Junction,http://vhd.heritagecouncil.vic.gov.au/vhd-images/places/000/174/625.jpg,"The Grand Union Tramway Junction is of National significance as the only remaining example of its type. It is the most complex junction that can be established at a crossroads  involving turns in all four directions. First established in December 1913 by the Prahran & Malvern Tramways Trust  it recalls the early days of the tram system when routes were developing and special services  such as from Caulfield race days  were common. Only three other 'grand union' junctions are known to have existed in Australia and these were all in Adelaide.

Classified: 04/06/2001",Cnr Balaclava & Hawthorn Roads  CAULFIELD  GLEN EIRA CITY,The Grand Union Tramway Junction is of National significance as the only remaining example of its type. It is the most complex junction that can be established at a crossroads.,Caulfield,3162
20,-37.871841,145.019298,St Stephen's Presbyterian Church,http://vhd.heritagecouncil.vic.gov.au/vhd-images/places/000/068/189.jpg,"A cruciform church designed by Robert Haddon in a mannered modern brick Gothic  incorporating remnants of a traditional vocabulary to create a bold and individual effect  of interest for its elaborately traceried windows and cross motif incorporated in the facade.

Classified: 16/10/1975",158 Balaclava Road  CAULFIELD  GLEN EIRA CITY,A cruciform church designed by Robert Haddon in a mannered modern brick Gothic  incorporating remnants of a traditional vocabulary to create a bold and individual effect  of interest for its,Caulfield,3162
21,-37.872967,145.025718,St Aloysius' Catholic Church & J W Wolff Pipe Organ,http://vhd.heritagecouncil.vic.gov.au/vhd-images/places/000/145/646.jpg,"Church Statement of Significance. An imposing brick church  designed by Bart Moriarty and opened in 1924  comprising a tall clerestoried nave with aisles  40m tower and spire  apsidal chancel  nun's tribune and sacristies. A late manifestation of what was praised at the time as ""Gothic copyism""  this building is notable for its elongated proportions  the unbroken roof ridge over the nave and sanctuary ridge  and the spacious interior with Oamaru stone altars  reredos and pulpit.

Classified 'Regional': 09/02/1989
Organ Statement of Significance

What is significant? The pipe organ at St Aloysius' Church is a very rare example of an organ built in South Australia by a German immigrant who became the most prolific local organbuilder in that state during the later 19th century. Johann Wilhelm Wolff built organs for many churches in Adelaide  but sadly only two of his larger instruments remain unaltered  this being one of them.

How is it significant? The organ is significant for historic  aesthetic and technical reasons at a state level.

Why is it significant? The pipe organ at St Aloysius' Church  Caulfield is significant for the following reasons:

. It is one of two surviving examples of a two-manual organ built by J.W. Wolff to remain unaltered

. Wolff was among the leading organbuilders in South Australia during the second half of the 19th century

. The instrument remains in a substantially intact state

. The overall sound is highly pleasing  in a fine acoustic  with sounds that differ from the normal English-inspired traditions that were prevalent in Australia

. The placement of the Great drawstops in a single column on the left side of the console and the Swell drawstops on the right

. The presence of the unique Suavial (harkening back to its builder's Germanic background - a type of Lieblich Gedackt) and the Salicet (a narrow scale string rank)

. The inclusion of seven ranks of splendidly made wooden pipework  mainly with inverted upper lips - a reflection of the difficulty of obtaining metal organ pipes in Adelaide at the time and in accord with German traditions

. The casework  which has three flats of (originally) gilt dummy wooden pipes placed within three flats with carved ogee Gothic canopies

. The layout of the windchests is locally unique  with the Great divided on C and C# chests on either side of the centrally placed tenor C Swell

Classified: 'State' 30/05/2011
",233 Balaclava Road  CAULFIELD  GLEN EIRA CITY,Church Statement of Significance. An imposing brick church  designed by Bart Moriarty and opened in 1924  comprising a tall clerestoried nave with aisles  40m tower and spire  apsidal,Caulfield,3162
22,-37.871492,145.022418,William Dargie - Murals - Caulfield North Primary School,,"This place is listed on the Victoria Heritage Database. Currently, no information is available, stay tuned for further updates",186 Balaclava Road  CAULFIELD  GLEN EIRA CITY,"This place is listed on the Victoria Heritage Database. Currently, no information is available, stay tuned for further updates",Caulfield,3162
23,-37.875866,145.030332,Halstead House & Garden,http://vhd.heritagecouncil.vic.gov.au/vhd-images/places/000/068/193.jpg,"Halstead House Š believed to be the oldest existing residence in Caulfield. Built in 1857 by stock agent James Dickson  who lived there until his death in 1890  Halstead House was the original homestead in the Caulfield North area. A very pleasant single storey house with cast-iron front verandah trim and a substantial three storey tower with mansard roof. 

",23 Bambra Road  CAULFIELD  GLEN EIRA CITY,A very pleasant single storey house with cast-iron front verandah trim and a substantial three storey tower with mansard roof.,Caulfield,3162
24,-37.880331,145.025658,St Mary's Church of England & Organ,http://vhd.heritagecouncil.vic.gov.au/vhd-images/places/000/092/918.jpg,"Church statement of Significance
A bluestone church designed by Reed and Barnes and erected in 1870-71; of particular interest for its total use of bluestone  without relief  three-light plate traceried windows and west door divided by a trumeau. Also of note is the polygonal spirelet  extending from one of the western buttresses.

Classified: 23/10/1975.

Organ Statement of Significance

A unique and experimental organ designed by Harold Rooksby  organist of St. Mary's Church  along Hope-Jones lines  built in 1933 by George Fincham & Sons using a complex tubular-pneumatic action. This instrument involved the elaborate use of the extension principle almost 20 years before the firm was to adopt this as a standard practice. It retains its massive divided case incorporating 16 ft metal basses  windchests and pipework from 1933 although the action and console have subsequently been electrified.

Classified: 01/04/1996.

File Note: February 2008: Organ disconnected & unused
",Glen Eira Road  CAULFIELD  GLEN EIRA CITY,"Church statement of Significance
A bluestone church designed by Reed and Barnes and erected in 1870-71; of particular interest for its total use of bluestone  without relief  three-light.",Caulfield,3162
